Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
C,"Liu, SM; Li, CR; Li, Y; Ma, H; Hou, X; Shen, YM; Wang, LC; Chen, Z; Guo, XH; Lu, HT; Du, Y; Tang, QT",,"Khosmood, F; Pirker, J; Apperley, T; Deterding, S",,"Liu, Simon; Li Chaoran; Li Yue; Ma Heng; Hou Xiao; Shen Yiming; Wang Licong; Chen Ze; Guo Xianghao; Lu Hengtong; Du Yu; Tang Qinting",,,Automatic generation of tower defense levels using PCG,PROCEEDINGS OF THE 14TH INTERNATIONAL CONFERENCE ON THE FOUNDATIONS OF DIGITAL GAMES (FDG'19),,,,,14th International Conference on the Foundations of Digital Games (FDG),"AUG 26-30, 2019","San Luis Obispo, CA","Soc Advancement Sci Digital Games,Assoc Comp Machinery,ACM SIGGRAPH,ACM SIGAI,ACM SIGCHI,Cal Poly Comp Sci & Software Engn,Zynga,iFixit",,,,,,,,,"Shen, Yi/GRS-3602-2022",,,,,,,,,,,,,,,,978-1-4503-7217-6,,,,2019,,,,,,,,,,10.1145/3337722.3337723,http://dx.doi.org/10.1145/3337722.3337723,,,,,,,,,,,,,WOS:000557260000010,View Full Record in Web of Science
C,"Galanina, E; Vetushinskiy, A",,"Chova, LG; Martinez, AL; Torres, IC",,"Galanina, E.; Vetushinskiy, A.",,,DESIGNING EDUCATIONAL GAMES TO TEACH PHILOSOPHY: CASE STUDY,EDULEARN19: 11TH INTERNATIONAL CONFERENCE ON EDUCATION AND NEW LEARNING TECHNOLOGIES,EDULEARN Proceedings,,,,11th International Conference on Education and New Learning Technologies (EDULEARN),"JUL 01-03, 2019","Palma, SPAIN",,,,,,,,,,,,,,,,,,,,,,,,2340-1117,,978-84-09-12031-4,,,,2019,,,,,,,2255,2260,,,,,,,,,,,,,,,,WOS:000551093102051,View Full Record in Web of Science
C,"Guckelsberger, C; Salge, C; Togelius, J",,,IEEE,"Guckelsberger, Christian; Salge, Christoph; Togelius, Julian",,,New And Surprising Ways to Be Mean,PROCEEDINGS OF THE 2018 IEEE CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND GAMES (CIG'18),IEEE Conference on Computational Intelligence and Games,,,,14th IEEE Conference on Computational Intelligence and Games (CIG),"AUG 14-17, 2018","Maastricht Univ, Dept Data Sci & Knowledge Engn, Maastricht, NETHERLANDS","IEEE,IEEE Computat Intelligence Soc,Managing Affect Learning THrough Intelligent Atoms & Smart Interact,Netherlands Org Sci Res,Univ Fund Limburg,Maastricht Convent Bur,Gemeente Maastricht,LBG Hotels","Maastricht Univ, Dept Data Sci & Knowledge Engn",,,,,,,,,"Guckelsberger, Christian/0000-0003-1977-1887; Togelius, Julian/0000-0003-3128-4598",,,,,,,,,,,,,2325-4270,,978-1-5386-4359-4,,,,2018,,,,,,,157,164,,,,,,,,,,,,,,,,WOS:000841411000021,View Full Record in Web of Science
C,"Schaa, H; Barriga, NA",,,IEEE,"Schaa, Hans; Barriga, Nicolas A.",,,Generating Entertaining Human-Like Sokoban Initial States,2021 40TH INTERNATIONAL CONFERENCE OF THE CHILEAN COMPUTER SCIENCE SOCIETY (SCCC),,,,,40th International Conference of the Chilean-Computer-Science-Society (SCCC),"NOV 15-19, 2021","Univ La Serena, La Serena, CHILE",Chilean Comp Sci Soc,Univ La Serena,,,,,,,,"Barriga, Nicolas A/M-8398-2015","Barriga, Nicolas A/0000-0002-1914-3840",,,,,,,,,,,,,,,978-1-6654-0956-8,,,,2021,,,,,,,,,,10.1109/SCCC54552.2021.9650431,http://dx.doi.org/10.1109/SCCC54552.2021.9650431,,,,,,,,,,,,,WOS:000765927700042,View Full Record in Web of Science
J,"Lelis, LHS; Reis, WMP; Gal, Y",,,,"Lelis, Levi H. S.; Reis, Willian M. P.; Gal, Ya'akov",,,Procedural Generation of Game Maps With Human-in-the-Loop Algorithms,IEEE TRANSACTIONS ON GAMES,,,,,,,,,,,,,,,,,,"Gal, Kobi/0000-0001-7187-8572",,,,,,,,,,,,,2475-1502,2475-1510,,,,SEP,2018,10,3,,,,,271,280,,10.1109/TG.2017.2783361,http://dx.doi.org/10.1109/TG.2017.2783361,,,,,,,,,,,,,WOS:000447381400003,View Full Record in Web of Science
C,"Levus, Y; Westermann, R; Morozov, M; Morayskyi, R; Pustelnyk, P",,,IEEE,"Levus, Yevheniya; Westermann, Rudiger; Morozov, Mykola; Morayskyi, Roman; Pustelnyk, Pavlo",,,Using Software Agents in a Distributed Computing System for Procedural Planetoid Terrain Generation,2022 IEEE 17TH INTERNATIONAL CONFERENCE ON COMPUTER SCIENCES AND INFORMATION TECHNOLOGIES (CSIT),,,,,IEEE 17th International Conference on Computer Sciences and Information Technologies (CSIT),"NOV 10-12, 2022","Lviv, UKRAINE","IEEE,IEEE Ukraine Sect,IEEE Ukraine Sect W MTT ED AP EP SSC Soc Joint Chapter,Lodz Univ Technol,NAS, Int Res & Training Ctr Informat Technologies & Syst,MES Ukraine,Ukrainian Project Management Assoc,Kharkiv Natl Univ Radioelectron,Lviv Polytechn Natl Univ",,,,,,,,,,"Morozov, Mykola/0000-0002-5892-6936",,,,,,,,,,,,,,,979-8-3503-3431-9,,,,2022,,,,,,,446,449,,10.1109/CSIT56902.2022.10000868,http://dx.doi.org/10.1109/CSIT56902.2022.10000868,,,,,,,,,,,,,WOS:000927642900103,View Full Record in Web of Science
C,"Werneck, M; Clua, EWG",,,IEEE,"Werneck, Mariana; Clua, Esteban W. G.",,,Generating Procedural Dungeons Using Machine Learning Methods,2020 19TH BRAZILIAN SYMPOSIUM ON COMPUTER GAMES AND DIGITAL ENTERTAINMENT (SBGAMES 2020),Brazilian Symposium on Games and Digital Entertainment SBGAMES,,,,19th Brazilian Symposium on Computer Games and Digital Entertainment (SBGames),"NOV 07-10, 2020",ELECTR NETWORK,"Cathol Univ Pernambuco, Digital Games Course,Fed Univ Pernambuco, Ctr Informat,Unity,Unreal Engine,Recife Ctr Adv Studies & Syst",,,,,,,,,,,,,,,,,,,,,,,2159-6654,2159-6662,978-1-7281-8432-6,,,,2020,,,,,,,90,96,,10.1109/SBGames51465.2020.00022,http://dx.doi.org/10.1109/SBGames51465.2020.00022,,,,,,,,,,,,,WOS:000904725100011,View Full Record in Web of Science
C,"Aliprandi, F; Nobre, RA; Ripamonti, LA; Gadia, D; Maggiorini, D",,"DePaolis, LT; Arpaia, P; Sacco, M",,"Aliprandi, Federico; Nobre, Renato Avellar; Ripamonti, Laura Anna; Gadia, Davide; Maggiorini, Dario",,,"Find, Fuse, Fight: Genetic Algorithms to Provide Engaging Content for Multiplayer Augmented Reality Games","EXTENDED REALITY, XR SALENTO 2022, PT II",Lecture Notes in Computer Science,,,,1st International Conference on Extended Reality (XR Salento),"JUL 06-08, 2022","Lecce, ITALY","Univ Salento, Augmented & Virtual Real Lab",,,,,,,,,,"Maggiorini, Dario/0000-0002-7460-2966; Avellar Nobre, Renato/0000-0003-3360-2844; Gadia, Davide/0000-0003-4491-9150; /0000-0001-8167-7870",,,,,,,,,,,,,0302-9743,1611-3349,978-3-031-15553-6; 978-3-031-15552-9,,,,2022,13446,,,,,,178,197,,10.1007/978-3-031-15553-6_14,http://dx.doi.org/10.1007/978-3-031-15553-6_14,,,,,,,,,,,,,WOS:000886159800014,View Full Record in Web of Science
C,"Yahya, NMHH; Fabroyir, H; Herumurti, D; Kuswardayan, I; Arifiani, S",,,IEEE,"Yahya, Nur Muhammad Husnul Habib; Fabroyir, Hadziq; Herumurti, Darlis; Kuswardayan, Imam; Arifiani, Siska",,,Dungeon's Room Generation Using Cellular Automata and Poisson Disk Sampling in Roguelike Game,PROCEEDINGS OF 2021 13TH INTERNATIONAL CONFERENCE ON INFORMATION & COMMUNICATION TECHNOLOGY AND SYSTEM (ICTS),International Conference on Information & Communication Technology and Systems,,,,13th International Conference on Information and Communication Technology and System (ICTS),"OCT 20-21, 2021",ELECTR NETWORK,"Inst Teknologi Sepuluh Nopember, Fac Informat & Commun Technol, Dept Informat,IEEE,IEEE Indonesia Sect",,,,,,,,,"Kuswardayan, Imam/HMO-9913-2023; Hariadi, Ridho Rahman/GRF-1982-2022; herumurti, darlis/GQZ-5988-2022","Kuswardayan, Imam/0000-0002-5241-5596; Hariadi, Ridho Rahman/0000-0002-3092-1164; Arifiani, Siska/0000-0002-2299-5315",,,,,,,,,,,,,2338-185X,,978-1-6654-4059-2,,,,2021,,,,,,,29,34,,10.1109/ICTS52701.2021.9608037,http://dx.doi.org/10.1109/ICTS52701.2021.9608037,,,,,,,,,,,,,WOS:000758514900006,View Full Record in Web of Science
J,"De Kegel, B; Haahr, M",,,,"De Kegel, Barbara; Haahr, Mads",,,Procedural Puzzle Generation: A Survey,IEEE TRANSACTIONS ON GAMES,,,,,,,,,,,,,,,,,,"Haahr, Mads/0000-0002-9273-6458",,,,,,,,,,,,,2475-1502,2475-1510,,,,MAR,2020,12,1,,,,,21,40,,10.1109/TG.2019.2917792,http://dx.doi.org/10.1109/TG.2019.2917792,,,,,,,,,,,,,WOS:000521999200002,View Full Record in Web of Science
J,"Rodrigues, L; Brancher, J",,,,"Rodrigues, Luiz; Brancher, Jacques",,,Procedurally generating a digital math game's levels: Does it impact players' in-game behavior?,ENTERTAINMENT COMPUTING,,,,,,,,,,,,,,,,,"Brancher, Jacques/GZM-2781-2022; Antonio Lima Rodrigues, Luiz/HKO-3811-2023","Rodrigues, Luiz/0000-0003-0343-3701",,,,,,,,,,,,,1875-9521,1875-953X,,,,DEC,2019,32,,,,,,,,100325,10.1016/j.entcom.2019.100325,http://dx.doi.org/10.1016/j.entcom.2019.100325,,,,,,,,,,,,,WOS:000504663900011,View Full Record in Web of Science
C,"Volz, V; Justesen, N; Snodgrass, S; Asadi, S; Purmonen, S; Holmgard, C; Togelius, J; Risi, S",,,IEEE,"Volz, Vanessa; Justesen, Niels; Snodgrass, Sam; Asadi, Sahar; Purmonen, Sami; Holmgard, Christoffer; Togelius, Julian; Risi, Sebastian",,,Capturing Local and Global Patterns in Procedural Content Generation via Machine Learning,2020 IEEE CONFERENCE ON GAMES (IEEE COG 2020),IEEE Conference on Computational Intelligence and Games,,,,IEEE Conference on Games (IEEE CoG),"AUG 24-27, 2020",ELECTR NETWORK,"IEEE,Games 24 Seven,NC,Dimps,Modl Ai,IEEE Computat Intelligence Soc,Kindai Univ,VS Games",,,,,,,,,"Asadi, Sahar/GQH-3537-2022","Asadi, Sahar/0000-0002-4017-3550; Togelius, Julian/0000-0003-3128-4598",,,,,,,,,,,,,2325-4270,,978-1-7281-4533-4,,,,2020,,,,,,,399,406,,,,,,,,,,,,,,,,WOS:000632592300052,View Full Record in Web of Science
C,"Mobramaein, A; Whitehead, J",,"Khosmood, F; Pirker, J; Apperley, T; Deterding, S",,"Mobramaein, Afshin; Whitehead, Jim",,,A Methodology for Designing Natural Language Interfaces for Procedural Content Generation,PROCEEDINGS OF THE 14TH INTERNATIONAL CONFERENCE ON THE FOUNDATIONS OF DIGITAL GAMES (FDG'19),,,,,14th International Conference on the Foundations of Digital Games (FDG),"AUG 26-30, 2019","San Luis Obispo, CA","Soc Advancement Sci Digital Games,Assoc Comp Machinery,ACM SIGGRAPH,ACM SIGAI,ACM SIGCHI,Cal Poly Comp Sci & Software Engn,Zynga,iFixit",,,,,,,,,,,,,,,,,,,,,,,,,978-1-4503-7217-6,,,,2019,,,,,,,,,,10.1145/3337722.3341860,http://dx.doi.org/10.1145/3337722.3341860,,,,,,,,,,,,,WOS:000557260000102,View Full Record in Web of Science
C,"Handoko, E; Gunawan, D",,,IEEE,"Handoko, Edwin; Gunawan, Dennis",,,Parabolix: Educational Simulation Game on Classical Mechanics Based on Virtual Reality and Perlin Noise Algorithm,PROCEEDINGS OF 2019 5TH INTERNATIONAL CONFERENCE ON NEW MEDIA STUDIES (CONMEDIA 2019),,,,,5th International Conference on New Media Studies (CONMEDIA),"OCT 09-11, 2019","Stmik Stikom Indonesia, Bali, INDONESIA","Univ Multimedia Nusantara,IEEE Indonesia Sect,Tarzan Photo & Bridal,PT Epson Indonesia,PT Alifrakindo Inti Perkasa,PT Dynam Inovasi Solusindo,PT Total Bangun Persada Tbk,alista Tehnik Mandiri,Servisindo Kualita Prima,PT Press Teknolgi,PT Cahaya Mandiri,Rabdorand",Stmik Stikom Indonesia,,,,,,,,,"Gunawan, Dennis/0000-0003-4224-6378",,,,,,,,,,,,,,,978-1-7281-0726-4,,,,2019,,,,,,,165,170,,,,,,,,,,,,,,,,WOS:000546170600031,View Full Record in Web of Science
C,"Smith, AM; Shapiro, D",,,Assoc Advancement Artificial Intelligence,"Smith, Adam M.; Shapiro, Daniel",,,Teaching Game AI as an Undergraduate Course in Computational Media,"THIRTY-FOURTH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, THE THIRTY-SECOND INNOVATIVE APPLICATIONS OF ARTIFICIAL INTELLIGENCE CONFERENCE AND THE TENTH AAAI SYMPOSIUM ON EDUCATIONAL ADVANCES IN ARTIFICIAL INTELLIGENCE",AAAI Conference on Artificial Intelligence,,,,34th AAAI Conference on Artificial Intelligence / 32nd Innovative Applications of Artificial Intelligence Conference / 10th AAAI Symposium on Educational Advances in Artificial Intelligence,"FEB 07-12, 2020","New York, NY",Assoc Advancement Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,,2159-5399,2374-3468,978-1-57735-835-0,,,,2020,34,,,,,,13461,13468,,,,,,,,,,,,,,,,WOS:000668126805120,View Full Record in Web of Science
C,"Soares, ES; Bulitko, V",,,IEEE,"Soares, Everton Schumacker; Bulitko, Vadim",,,Deep Variational Autoencoders for NPC Behaviour Classification,2019 IEEE CONFERENCE ON GAMES (COG),IEEE Conference on Computational Intelligence and Games,,,,IEEE Conference on Games (IEEE COG),"AUG 20-23, 2019","London, ENGLAND","IEEE,Queeen Mary Univ London,Microsoft,WARGAMING.NET,Unity,Creat Assembly,IEEE Computat Inetllgence Soc,Draughts",,,,,,,,,,,,,,,,,,,,,,,2325-4270,,978-1-7281-1884-0,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,WOS:000843154300062,View Full Record in Web of Science
C,"Ashley, DR; Chockalingam, V; Kuzma, B; Bulitko, V",,,IEEE,"Ashley, Dylan R.; Chockalingam, Valliappa; Kuzma, Braedy; Bulitko, Vadim",,,Learning to Select Mates in Evolving Non-playable Characters,2019 IEEE CONFERENCE ON GAMES (COG),IEEE Conference on Computational Intelligence and Games,,,,IEEE Conference on Games (IEEE COG),"AUG 20-23, 2019","London, ENGLAND","IEEE,Queeen Mary Univ London,Microsoft,WARGAMING.NET,Unity,Creat Assembly,IEEE Computat Inetllgence Soc,Draughts",,,,,,,,,,,,,,,,,,,,,,,2325-4270,,978-1-7281-1884-0,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,WOS:000843154300060,View Full Record in Web of Science
J,"Volz, V",,,,"Volz, Vanessa",,,Uncertainty Handling in Surrogate Assisted Optimisation of Games Dissertation Abstract,KUNSTLICHE INTELLIGENZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0933-1875,1610-1987,,,,MAR,2020,34,1,,,SI,,95,99,,10.1007/s13218-019-00613-1,http://dx.doi.org/10.1007/s13218-019-00613-1,,,,,,,,,,,,,WOS:000517069800013,View Full Record in Web of Science
J,"Latif, A; Zuhairi, MF; Khan, FQ; Randhawa, P; Patel, A",,,,"Latif, Abdul; Zuhairi, Megat F.; Khan, Fazal Qudus; Randhawa, Princy; Patel, Akshet",,,A Critical Evaluation of Procedural Content Generation Approaches for Digital Twins,JOURNAL OF SENSORS,,,,,,,,,,,,,,,,,"randhawa, princy/Y-6491-2019; Zuhairi, Megat Farez/C-9947-2017","randhawa, princy/0000-0001-6356-8718; Patel, Akshet/0000-0002-2884-3080; Zuhairi, Megat Farez/0000-0003-4418-8562",,,,,,,,,,,,,1687-725X,1687-7268,,,,JUL 29,2022,2022,,,,,,,,5629645,10.1155/2022/5629645,http://dx.doi.org/10.1155/2022/5629645,,,,,,,,,,,,,WOS:000837982700003,View Full Record in Web of Science
C,"Volkmar, G; Mahlmann, N; Malaka, R",,"VanDerSpek, E; Gobel, S; Do, EYL; Hauge, JB; Clua, E",,"Volkmar, Georg; Maehlmann, Nikolas; Malaka, Rainer",,,Procedural Content Generation in Competitive Multiplayer Platform Games,"ENTERTAINMENT COMPUTING AND SERIOUS GAMES, ICEC-JCSG 2019",Lecture Notes in Computer Science,,,,1st IFIP TC 14 Joint International Conference on 18th IFIP International Conference on Entertainment Computing (IFIP-ICEC) / 5th International Joint Conference on Serious Games (JCSG),"NOV 11-15, 2019","Catholic Univ San Pablo, Arequipa, PERU","IFIP TC 14,Peruvian Govt,ICEC,JCSG Steering Grp",Catholic Univ San Pablo,,,,,,,,,"Malaka, Rainer/0000-0001-6463-4828",,,,,,,,,,,,,0302-9743,1611-3349,978-3-030-34644-7,,,,2019,11863,,,,,,228,234,,10.1007/978-3-030-34644-7_18,http://dx.doi.org/10.1007/978-3-030-34644-7_18,,,,,,,,,,,,,WOS:000508567100018,View Full Record in Web of Science
J,"Ma, LB; Cheng, S; Shi, ML; Guo, YA",,,,"Ma, Lianbo; Cheng, Shi; Shi, Mingli; Guo, Yinan",,,Angle-Based Multi-Objective Evolutionary Algorithm Based On Pruning-Power Indicator for Game Map Generation,IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTATIONAL INTELLIGENCE,,,,,,,,,,,,,,,,,"Cheng, Shi/F-5069-2011","Cheng, Shi/0000-0002-5129-995X; Guo, Yinan/0000-0002-4276-5410",,,,,,,,,,,,,2471-285X,,,,,APR,2022,6,2,,,,,341,354,,10.1109/TETCI.2021.3067104,http://dx.doi.org/10.1109/TETCI.2021.3067104,,APR 2021,,,,,,,,,,,WOS:000733532200001,View Full Record in Web of Science
J,"de Pontes, RG; Gomes, HM; Seabra, IS",,,,"De Pontes, Rafael Guerra; Gomes, Herman Martins; Seabra, Igor Santa Ritta",,,Particle swarm optimization for procedural content generation in an endless platform game,ENTERTAINMENT COMPUTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1875-9521,1875-953X,,,,AUG,2022,43,,,,,,,,100496,10.1016/j.entcom.2022.100496,http://dx.doi.org/10.1016/j.entcom.2022.100496,,JUL 2022,,,,,,,,,,,WOS:000878517700006,View Full Record in Web of Science
J,"Karavolos, D; Liapis, A; Yannakakis, G",,,,"Karavolos, Daniel; Liapis, Antonios; Yannakakis, Georgios",,,A Multifaceted Surrogate Model for Search-Based Procedural Content Generation,IEEE TRANSACTIONS ON GAMES,,,,,,,,,,,,,,,,,"; Yannakakis, Georgios N./R-9213-2016","Liapis, Antonios/0000-0001-5554-1961; Yannakakis, Georgios N./0000-0001-7793-1450; Yannakakis, Georgios/0000-0003-2728-4026; Karavolos, Daniel/0000-0003-0292-6256",,,,,,,,,,,,,2475-1502,2475-1510,,,,MAR,2021,13,1,,,,,11,22,,10.1109/TG.2019.2931044,http://dx.doi.org/10.1109/TG.2019.2931044,,,,,,,,,,,,,WOS:000631200800002,View Full Record in Web of Science
C,"Shu, TY; Liu, JL; Yannakakis, GN",,,IEEE,"Shu, Tianye; Liu, Jialin; Yannakakis, Georgios N.",,,Experience-Driven PCG via Reinforcement Learning: A Super Mario Bros Study,2021 IEEE CONFERENCE ON GAMES (COG),IEEE Conference on Computational Intelligence and Games,,,,IEEE Conference on Games (IEEE CoG),"AUG 17-21, 2021",ELECTR NETWORK,IEEE,,,,,,,,,"LIU, Jialin/M-3290-2018; Yannakakis, Georgios N./R-9213-2016","LIU, Jialin/0000-0001-7047-8454; Yannakakis, Georgios N./0000-0001-7793-1450",,,,,,,,,,,,,2325-4270,,978-1-6654-3886-5,,,,2021,,,,,,,420,428,,10.1109/COG52621.2021.9619124,http://dx.doi.org/10.1109/COG52621.2021.9619124,,,,,,,,,,,,,WOS:000842962500054,View Full Record in Web of Science
C,"LaBouve, E; Miller, E; Khosmood, F",,"Khosmood, F; Pirker, J; Apperley, T; Deterding, S",,"LaBouve, Eric; Miller, Erik; Khosmood, Foaad",,,Enhancing Story Generation with the Semantic Web,PROCEEDINGS OF THE 14TH INTERNATIONAL CONFERENCE ON THE FOUNDATIONS OF DIGITAL GAMES (FDG'19),,,,,14th International Conference on the Foundations of Digital Games (FDG),"AUG 26-30, 2019","San Luis Obispo, CA","Soc Advancement Sci Digital Games,Assoc Comp Machinery,ACM SIGGRAPH,ACM SIGAI,ACM SIGCHI,Cal Poly Comp Sci & Software Engn,Zynga,iFixit",,,,,,,,,,,,,,,,,,,,,,,,,978-1-4503-7217-6,,,,2019,,,,,,,,,,10.1145/3337722.3337742,http://dx.doi.org/10.1145/3337722.3337742,,,,,,,,,,,,,WOS:000557260000009,View Full Record in Web of Science
J,"Schubert, F; Awiszus, M; Rosenhahn, B",,,,"Schubert, Frederik; Awiszus, Maren; Rosenhahn, Bodo",,,TOAD-GAN: A Flexible Framework for Few-Shot Level Generation in Token-Based Games,IEEE TRANSACTIONS ON GAMES,,,,,,,,,,,,,,,,,,"Awiszus, Maren/0000-0002-0029-2707; Schubert, Frederik/0000-0001-8312-3943",,,,,,,,,,,,,2475-1502,2475-1510,,,,JUN,2022,14,2,,,,,284,293,,10.1109/TG.2021.3069833,http://dx.doi.org/10.1109/TG.2021.3069833,,,,,,,,,,,,,WOS:000811581700020,View Full Record in Web of Science
C,"Mitsis, K; Kalafatis, E; Zarkogianni, K; Mourkousis, G; Nikita, KS",,,IEEE,"Mitsis, Konstantinos; Kalafatis, Eleftherios; Zarkogianni, Konstantia; Mourkousis, George; Nikita, Konstantina S.",,,Procedural content generation based on a genetic algorithm in a serious game for obstructive sleep apnea,2020 IEEE CONFERENCE ON GAMES (IEEE COG 2020),IEEE Conference on Computational Intelligence and Games,,,,IEEE Conference on Games (IEEE CoG),"AUG 24-27, 2020",ELECTR NETWORK,"IEEE,Games 24 Seven,NC,Dimps,Modl Ai,IEEE Computat Intelligence Soc,Kindai Univ,VS Games",,,,,,,,,,"Mourkousis, Georgios/0000-0002-0951-6623; Nikita, Konstantina/0000-0001-8255-4354",,,,,,,,,,,,,2325-4270,,978-1-7281-4533-4,,,,2020,,,,,,,694,697,,,,,,,,,,,,,,,,WOS:000632592300103,View Full Record in Web of Science
C,"Hauck, E; Aranha, C",,,IEEE,"Hauck, Eduardo; Aranha, Claus",,,Automatic Generation of Super Mario Levels via Graph Grammars,2020 IEEE CONFERENCE ON GAMES (IEEE COG 2020),IEEE Conference on Computational Intelligence and Games,,,,IEEE Conference on Games (IEEE CoG),"AUG 24-27, 2020",ELECTR NETWORK,"IEEE,Games 24 Seven,NC,Dimps,Modl Ai,IEEE Computat Intelligence Soc,Kindai Univ,VS Games",,,,,,,,,,,,,,,,,,,,,,,2325-4270,,978-1-7281-4533-4,,,,2020,,,,,,,297,304,,,,,,,,,,,,,,,,WOS:000632592300039,View Full Record in Web of Science
C,"Ruela, AS; Delgado, KV",,,IEEE,"Ruela, Andre Siqueira; Delgado, Karim Valdivia",,,Scale-Free Evolutionary Level Generation,PROCEEDINGS OF THE 2018 IEEE CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND GAMES (CIG'18),IEEE Conference on Computational Intelligence and Games,,,,14th IEEE Conference on Computational Intelligence and Games (CIG),"AUG 14-17, 2018","Maastricht Univ, Dept Data Sci & Knowledge Engn, Maastricht, NETHERLANDS","IEEE,IEEE Computat Intelligence Soc,Managing Affect Learning THrough Intelligent Atoms & Smart Interact,Netherlands Org Sci Res,Univ Fund Limburg,Maastricht Convent Bur,Gemeente Maastricht,LBG Hotels","Maastricht Univ, Dept Data Sci & Knowledge Engn",,,,,,,,,,,,,,,,,,,,,,2325-4270,,978-1-5386-4359-4,,,,2018,,,,,,,245,252,,,,,,,,,,,,,,,,WOS:000841411000032,View Full Record in Web of Science
C,"Paduraru, C; Paduraru, M; Iordache, S",,"Fill, HG; VanSinderen, M; Maciaszek, L",,"Paduraru, Ciprian; Paduraru, Miruna; Iordache, Stefan",,,Continuous Procedural Network of Roads Generation using L-Systems and Reinforcement Learning,PROCEEDINGS OF THE 17TH INTERNATIONAL CONFERENCE ON SOFTWARE TECHNOLOGIES (ICSOFT),,,,,17th International Conference on Software Technologies (ICSOFT),"JUL 11-13, 2022","Lisbon, PORTUGAL",INSTICC,,,,,,,,,,,,,,,,,,,,,,,,,978-989-758-588-3,,,,2022,,,,,,,425,432,,10.5220/0011268300003266,http://dx.doi.org/10.5220/0011268300003266,,,,,,,,,,,,,WOS:000852747000043,View Full Record in Web of Science
C,"Park, K; Mott, B; Min, W; Wiebe, E; Boyer, KE; Lester, J",,"Bittencourt, II; Cukurova, M; Muldner, K; Luckin, R; Millan, E",,"Park, Kyungjin; Mott, Bradford; Min, Wookhee; Wiebe, Eric; Boyer, Kristy Elizabeth; Lester, James",,,Generating Game Levels to Develop Computer Science Competencies in Game-Based Learning Environments,"ARTIFICIAL INTELLIGENCE IN EDUCATION (AIED 2020), PT II",Lecture Notes in Artificial Intelligence,,,,21st International Conference on Artificial Intelligence in Education (AIED),"JUL 06-10, 2020",ELECTR NETWORK,,,,,,,,,,,,,,,,,,,,,,,,0302-9743,1611-3349,978-3-030-52240-7; 978-3-030-52239-1,,,,2020,12164,,,,,,240,245,,10.1007/978-3-030-52240-7_44,http://dx.doi.org/10.1007/978-3-030-52240-7_44,,,,,,,,,,,,,WOS:000885076200044,View Full Record in Web of Science
C,"Cobbe, K; Hesse, C; Hilton, J; Schulman, J",,"Daume, H; Singh, A",,"Cobbe, Karl; Hesse, Christopher; Hilton, Jacob; Schulman, John",,,Leveraging Procedural Generation to Benchmark Reinforcement Learning,"INTERNATIONAL CONFERENCE ON MACHINE LEARNING, VOL 119",Proceedings of Machine Learning Research,,,,International Conference on Machine Learning (ICML),"JUL 13-18, 2020",ELECTR NETWORK,,,,,,,,,,,,,,,,,,,,,,,,2640-3498,,,,,,2020,119,,,,,,,,,,,,,,,,,,,,,,,WOS:000683178502015,View Full Record in Web of Science
C,"Picariello, U; Loiacono, D; Mosca, F; Lanzi, PL",,,IEEE,"Picariello, Umberto; Loiacono, Daniele; Mosca, Fabio; Lanzi, Pier Luca",,,A Framework to Create Collaborative Games for Team Building using Procedural Content Generation,2020 IEEE SYMPOSIUM SERIES ON COMPUTATIONAL INTELLIGENCE (SSCI),,,,,IEEE Symposium Series on Computational Intelligence (IEEE SSCI),"DEC 01-04, 2020",ELECTR NETWORK,"IEEE,IEEE Computat Intelligence Soc",,,,,,,,,"Mosca, Fabio/C-5826-2017; Loiacono, Daniele/AAB-9829-2019","Mosca, Fabio/0000-0001-6477-0299; Loiacono, Daniele/0000-0002-5355-0634; Lanzi, Pier Luca/0000-0002-1933-7717",,,,,,,,,,,,,,,978-1-7281-2547-3,,,,2020,,,,,,,2365,2372,,,,,,,,,,,,,,,,WOS:000682772902055,View Full Record in Web of Science
